report_no,incident_time,complaint_type,cctv_flag,precinct_code,area_code,area_name,cctv_count,population_density,rounds_per_day,crime_code,crime_type,weapon_code,weapon_desc,case_status_code,case_status_desc,victim_code,victim_name,victim_sex,victim_age,was_victim_alone,is_victim_insured,offender_code,offender_name,offender_sex,offender_age,repeated_offender,no_of_offences,offender_relation,officer_code,officer_name,officer_sex,avg_close_days,week_number
200104414,19:00:00,Phone,FALSE,4,425,Rampart,165,8500,5,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,2991,Alan,M,35,Yes,Yes,2363716,Roscoe,M,31,Yes,1,No,3261,Lorian,F,10,2
200104416,19:30:00,In-Person,FALSE,3,336,Van Nuys,250,4149,9,930,CRIMINAL THREATS - NO WEAPON D,212,BOTTLE,IC,Invest Cont,12872,Crystal,F,54,Yes,Yes,1501143,Ladonna,M,33,Yes,3,No,3246,Bonnell,F,9,2
200104417,21:00:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,236,INTIMATE PARTNER - AGGRAVATED,205,KITCHEN KNIFE,IC,Invest Cont,30137,Sophia,F,41,Yes,Yes,400817,Tobias,M,33,Yes,4,No,1029,Keysean,M,9,2
200104419,22:30:00,In-Person,FALSE,3,336,Van Nuys,250,4149,9,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,50422,Irene,F,42,Yes,Yes,851610,Robbie,M,31,Yes,3,No,1029,Keysean,M,9,2
200104420,01:00:00,In-Person,FALSE,3,336,Van Nuys,250,4149,9,910,KIDNAPPING,308,STICK,IC,Invest Cont,32919,Juan,M,4,Yes,Yes,837972,Rosalyn,M,37,Yes,3,No,3246,Bonnell,F,9,2
200104422,18:00:00,Phone,FALSE,2,323,Northeast,255,4100,9,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,104653,Ruby,F,53,Yes,Yes,93024,Mauricio,M,30,Yes,3,No,1023,Everrett,M,12,2
200104429,19:00:00,In-Person,FALSE,3,371,West LA,244,5500,9,888,TRESPASSING,501,BOMB THREAT,IC,Invest Cont,119543,Philip,M,55,Yes,Yes,1516724,Jayden,M,40,Yes,3,No,3246,Bonnell,F,9,2
200104430,09:55:00,Phone,TRUE,4,425,Rampart,165,8500,5,910,KIDNAPPING,308,STICK,IC,Invest Cont,106497,Annie,F,4,Yes,Yes,928895,Ayla,M,41,Yes,1,No,3261,Lorian,F,10,2
200104431,19:00:00,Phone,FALSE,2,322,Southwest,168,7800,8,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,53400,Kayla,F,32,Yes,Yes,991421,Harriett,M,34,Yes,1,No,1023,Everrett,M,12,2
200104432,14:00:00,Phone,TRUE,4,425,Rampart,165,8500,5,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,119981,Vincent,M,34,Yes,Yes,2276344,Christi,M,40,Yes,3,No,2036,Tasean,M,8,2
