report_no,incident_time,complaint_type,cctv_flag,precinct_code,area_code,area_name,cctv_count,population_density,rounds_per_day,crime_code,crime_type,weapon_code,weapon_desc,case_status_code,case_status_desc,victim_code,victim_name,victim_sex,victim_age,was_victim_alone,is_victim_insured,offender_code,offender_name,offender_sex,offender_age,repeated_offender,no_of_offences,offender_relation,officer_code,officer_name,officer_sex,avg_close_days,week_number
190101086,03:30:00,Phone,FALSE,6,990,Hollenbeck,170,6686,5,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,9871,James,M,25,Yes,Yes,838569,Evangeline,M,25,Yes,7,No,1028,Keahi,M,14,1
191501505,17:30:00,In-Person,TRUE,5,893,Harbor,180,6500,10,745,VANDALISM - MISDEAMEANOR ($399,306,ROCK/THROWN OBJECT,IC,Invest Cont,59180,Robert,M,76,Yes,Yes,2358502,Adan,M,23,Yes,2,No,4010,Neeka,F,13,1
200100501,00:30:00,Phone,TRUE,5,887,Newton,275,3409,12,121,"RAPE, FORCIBLE",511,VERBAL THREAT,IC,Invest Cont,33233,Michael,M,25,Yes,Yes,949516,Willa,M,31,Yes,2,No,4010,Neeka,F,13,1
200100502,13:15:00,Email,TRUE,6,990,Hollenbeck,170,6686,5,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,94634,William,M,23,Yes,Yes,951627,Sondra,M,40,Yes,7,No,1028,Keahi,M,14,1
200100504,00:40:00,Email,TRUE,6,990,Hollenbeck,170,6686,5,946,OTHER MISCELLANEOUS CRIME,204,FOLDING KNIFE,IC,Invest Cont,99438,Mary,F,44,Yes,Yes,1127185,Anderson,M,40,Yes,1,No,1028,Keahi,M,14,1
200100507,02:00:00,Email,FALSE,3,336,Van Nuys,250,4149,9,341,THEFT-GRAND ($950.01 & OVER)EX,208,RAZOR,IC,Invest Cont,43888,David,M,56,Yes,Yes,297867,Boyd,M,30,Yes,2,No,2035,Rue,M,12,1
200100509,22:00:00,Email,FALSE,3,371,West LA,244,5500,9,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,52299,Joseph,M,51,Yes,Yes,527795,Mickey,M,36,Yes,2,No,3245,Arretta,F,12,1
200100510,09:55:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,930,CRIMINAL THREATS - NO WEAPON D,212,BOTTLE,IC,Invest Cont,89061,Richard,M,31,Yes,Yes,364686,Hayden,M,37,Yes,2,No,3245,Arretta,F,12,1
200100514,13:55:00,In-Person,FALSE,6,990,Hollenbeck,170,6686,5,341,THEFT-GRAND ($950.01 & OVER)EX,208,RAZOR,AA,Adult Arrest,36445,Charles,M,53,Yes,Yes,787093,Harmony,M,41,Yes,6,No,1028,Keahi,M,14,1
200100515,16:38:00,Phone,TRUE,3,336,Van Nuys,250,4149,9,648,ARSON,218,OTHER CUTTING INSTRUMENT,IC,Invest Cont,21042,Thomas,M,42,Yes,Yes,1833848,Grover,M,32,Yes,1,No,3245,Arretta,F,12,1
200100520,18:05:00,Email,TRUE,6,990,Hollenbeck,170,6686,5,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,2062,Christopher,M,46,Yes,Yes,2299935,Trudy,M,41,Yes,5,No,3260,Loletha,F,14,1
200100535,13:30:00,In-Person,FALSE,5,887,Newton,275,3409,12,210,ROBBERY,515,PHYSICAL PRESENCE,IC,Invest Cont,78244,Matthew,M,56,Yes,Yes,232057,Hilary,M,30,Yes,1,No,4010,Neeka,F,13,1
200100538,17:30:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,341,THEFT-GRAND ($950.01 & OVER)EX,208,RAZOR,IC,Invest Cont,3724,Patricia,F,51,Yes,Yes,794569,Staci,M,40,Yes,2,No,2035,Rue,M,12,1
200100543,14:45:00,Phone,FALSE,2,322,Southwest,168,7800,8,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,52392,Jennifer,F,55,Yes,Yes,633757,Johnathon,M,41,Yes,2,No,1023,Everrett,M,12,1
200100546,07:00:00,In-Person,FALSE,3,371,West LA,244,5500,9,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,AO,Adult Other,19139,Anthony,M,42,Yes,Yes,801151,Pat,M,35,Yes,1,No,3245,Arretta,F,12,1
200100552,20:00:00,Phone,TRUE,5,887,Newton,275,3409,12,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,AA,Adult Arrest,91038,Linda,F,59,Yes,Yes,318773,Jenifer,M,34,Yes,2,No,4010,Neeka,F,13,1
200100556,04:00:00,Email,FALSE,4,425,Rampart,165,8500,5,121,"RAPE, FORCIBLE",511,VERBAL THREAT,IC,Invest Cont,120777,Donald,M,53,Yes,Yes,734065,Dewayne,M,30,Yes,2,No,3251,Genever,F,11,1
200100559,06:00:00,Phone,TRUE,6,990,Hollenbeck,170,6686,5,910,KIDNAPPING,308,STICK,AO,Adult Other,8983,Paul,M,1,Yes,Yes,1091845,Camryn,M,35,Yes,1,No,3260,Loletha,F,14,1
200100568,15:00:00,In-Person,FALSE,3,336,Van Nuys,250,4149,9,930,CRIMINAL THREATS - NO WEAPON D,212,BOTTLE,IC,Invest Cont,105565,Steven,M,48,Yes,Yes,2038483,Kailey,M,37,Yes,2,No,2035,Rue,M,12,1
200100572,21:00:00,In-Person,FALSE,3,336,Van Nuys,250,4149,9,740,VANDALISM - FELONY ($400 & OVE,200,KNIFE WITH BLADE 6INCHES OR LE,IC,Invest Cont,64443,Edward,M,37,Yes,Yes,1480238,Brenden,M,35,Yes,2,No,3245,Arretta,F,12,1
