report_no,incident_time,complaint_type,cctv_flag,precinct_code,area_code,area_name,cctv_count,population_density,rounds_per_day,crime_code,crime_type,weapon_code,weapon_desc,case_status_code,case_status_desc,victim_code,victim_name,victim_sex,victim_age,was_victim_alone,is_victim_insured,offender_code,offender_name,offender_sex,offender_age,repeated_offender,no_of_offences,offender_relation,officer_code,officer_name,officer_sex,avg_close_days,week_number
200105044,07:20:00,In-Person,FALSE,3,371,West LA,244,5500,9,510,VEHICLE - STOLEN,207,OTHER KNIFE,AA,Adult Arrest,102816,Erik,M,38,Yes,Yes,355020,Carmen,M,39,No,0,No,2038,Veldon,M,11,3
200105047,12:00:00,In-Person,FALSE,1,223,West Valley,268,3950,8,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,24604,Alvin,M,5,Yes,Yes,1143757,Uriel,M,36,Yes,7,Yes,1031,Kowen,M,13,3
200105051,02:30:00,Phone,FALSE,1,223,West Valley,268,3950,8,210,ROBBERY,515,PHYSICAL PRESENCE,IC,Invest Cont,73273,Beth,F,38,Yes,Yes,1502389,Humberto,M,41,Yes,1,No,4111,Rakayla,F,8,3
200105100,01:00:00,Phone,FALSE,5,887,Newton,275,3409,12,910,KIDNAPPING,308,STICK,IC,Invest Cont,108128,Carla,F,5,Yes,No,1480074,Earline,M,36,No,0,No,5245,Scotlynn,F,9,3
200105101,13:10:00,Phone,FALSE,4,425,Rampart,165,8500,5,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,121032,Edgar,M,54,Yes,Yes,1597286,Itzel,M,30,Yes,6,No,3223,Anayely,F,11,3
200105103,06:50:00,Phone,FALSE,2,261,77th Street,150,8889,9,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,28147,Jim,M,34,Yes,Yes,1144731,Lavonne,M,39,No,0,No,3249,Cledith,F,13,3
200105108,04:00:00,Phone,FALSE,3,371,West LA,244,5500,9,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,15868,Heidi,F,49,Yes,Yes,1620247,Kaitlynn,M,40,No,0,No,2038,Veldon,M,11,3
200105111,08:55:00,Phone,FALSE,1,223,West Valley,268,3950,8,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,94308,Mario,M,60,Yes,No,1095698,Orion,M,37,No,0,No,1031,Kowen,M,13,3
200105113,12:20:00,Phone,FALSE,1,223,West Valley,268,3950,8,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,36602,Nellie,F,38,Yes,Yes,29934,Cristal,M,37,No,0,No,4111,Rakayla,F,8,3
200105115,10:00:00,Phone,FALSE,4,425,Rampart,165,8500,5,480,BIKE - STOLEN,504,DEMAND NOTE,IC,Invest Cont,37435,Lindsay,F,31,Yes,No,947196,Lyric,M,32,Yes,4,No,4112,Rashae,F,14,3
